id,company,company size,location,technology,seniority,salary employment min,salary employment max,salary b2b min,salary b2b max
102ccbf32f40a63588902af35998f658,Appfire,1000.0,Gdańsk,Java,senior,18000.0,25000.0,,
a44b8787d7026b4fa0d92b21cd1f0b1b,Appfire,1000.0,Warszawa,Java,mid,13500.0,18000.0,,
cd04530c36a656402a511185b3cc7cf0,Appfire,1000.0,Gdańsk,Java,mid,13500.0,18000.0,,
6a9ec278dc48c7495c6eb2685de10598,Appfire,1000.0,Katowice,Java,mid,13500.0,18000.0,,
15aa382898ee4bbda4f371755a1c1422,Appfire,1000.0,Łódź,Java,mid,13500.0,18000.0,,
84b306c8787453efc28660644d8266c1,Appfire,1000.0,Kraków,Java,mid,13500.0,18000.0,,
50086780e53fa1f6aebb48c3667bc9fc,Appfire,1000.0,Poznań,Java,mid,13500.0,18000.0,,
97ec8d737362dfb51a08d352074c674b,Appfire,1000.0,Warszawa,Python,senior,16000.0,23500.0,,
5732d82ede26d1adf5af88421ae697c8,Ework Group,10.0,Gdańsk,Python,senior,,,23520.0,26880.0
ee93ba20fbb3db5b581f5b41a0096257,Ework Group,10.0,Warszawa,Java,mid,,,25200.0,28560.0
7e3212c9154d755c65293466161d4d00,Ework Group,10.0,Warszawa,Python,senior,,,28883.0,32493.0
b5f81c7d1ef293cd49e51d98bfff8103,Motorola Solutions Systems Polska Sp. z o.o.,1000.0,Kraków,JavaScript,senior,14500.0,19000.0,,
498bb98817e439ad0a99e44950555416,Motorola Solutions Systems Polska Sp. z o.o.,1000.0,Kraków,Java,senior,12000.0,18000.0,,
1d66bd49ca911433d52b40e63852c99f,Motorola Solutions Systems Polska Sp. z o.o.,1000.0,Kraków,Java,mid,14000.0,19000.0,,
d305821c7233c6455a8f67ce952f5f7b,Motorola Solutions Systems Polska Sp. z o.o.,1000.0,Kraków,C/C++,senior,14500.0,19000.0,,
890dfefb6c1ceeaad29df9962a3f9160,Motorola Solutions Systems Polska Sp. z o.o.,1000.0,Kraków,C/C++,expert,18000.0,22000.0,,
fd6a519ba0cbb3e09034523384ea74e3,Motorola Solutions Systems Polska Sp. z o.o.,1000.0,Kraków,C#,mid,14000.0,17000.0,,
0df321cdd6472f27aed78041d05f5bbb,N-iX,1000.0,Kraków,Kotlin,senior,21800.0,23980.0,23980.0,27468.0
e4954eddca57e9994c9e34f2151b87c4,N-iX,1000.0,Wrocław,Kotlin,senior,21800.0,23980.0,23980.0,27468.0
4bf305b84db9a3b31a93738387df3b7e,N-iX,1000.0,Warszawa,Kotlin,senior,21800.0,23980.0,23980.0,27468.0
a2ef72ec1988f0bd15869275353c3a6a,N-iX,1000.0,Kraków,Python,senior,,,25724.0,27468.0
02f24d9d71d84420ce34d482dbdf9c5f,N-iX,1000.0,Wrocław,Python,senior,,,25724.0,27468.0
4e9fe2f97da16c122ca8e7c0d67ae4b8,N-iX,1000.0,Warszawa,Python,senior,,,25724.0,27468.0
57854f768fe6bdf97a29466c1631a00a,N-iX,1000.0,Kraków,C#,senior,,,21364.0,22236.0
8fa1541a3e815ea1165cba9b4a3e3ce8,N-iX,1000.0,Kraków,C#,expert,,,26160.0,32700.0
9289352e55d8a7fac1ac0a199f78190c,N-iX,1000.0,Wrocław,C#,expert,,,26160.0,32700.0
ff2e34b6ed078180a7a5f43dc357c69b,N-iX,1000.0,Kraków,Python,expert,,,27468.0,33572.0
0bab05da694ebbbae67b45b2befd21af,N-iX,1000.0,Wrocław,Python,expert,,,27468.0,33572.0
3d744da9a1f23181ecaf12ed4b5c0e4e,N-iX,1000.0,Warszawa,Python,expert,,,27468.0,33572.0
1444e84ccf287f804f4546e9051b6ef6,N-iX,1000.0,Kraków,Java,mid,,,17440.0,18748.0
20f4fa62fe95252f89b7f8357eb0a14d,N-iX,1000.0,Wrocław,Java,mid,,,17440.0,18748.0
fa71f69e85aabd23206a6e229a40fce7,Bayer Sp. z o.o.,100.0,Warszawa,Python,senior,24000.0,34000.0,,
ef956bb763877926609ae6895046355f,Bayer Sp. z o.o.,100.0,Warszawa,JavaScript,mid,15000.0,22000.0,,
b41238f2e697025739a724ed8b2d3f8a,Bayer Sp. z o.o.,100.0,Warszawa,JavaScript,senior,18000.0,28000.0,,
aadaefd176f9d2e011e2b4ecde03d86a,Bayer Sp. z o.o.,100.0,Warszawa,Python,senior,18000.0,28000.0,,
7b8235739c967c06f95cebff7d151cb6,Bayer Sp. z o.o.,100.0,Warszawa,Golang,senior,32000.0,42000.0,,
736d4aa8c025c8a337ea41a80ea807a5,Box,1000.0,Warszawa,Java,senior,30000.0,35000.0,,
aeb1c3e09cfe967e5c0267c3218793eb,Box,1000.0,Warszawa,Java,senior,37000.0,44000.0,,
fe173410dc23a254f4bf983a7821cdfa,Box,1000.0,Warszawa,Mobile,senior,30000.0,35000.0,,
d1e8e6bcb2e5e5d208d5ad9cf9480e08,Box,1000.0,Warszawa,Java,expert,37000.0,44000.0,,
5eb47a8c342e9d357041ee6066504450,ING Bank Śląski Spółka Akcyjna,10000.0,Warszawa,C#,mid,11000.0,22000.0,,
5402308e6898842f67113ae3414d96a6,ING Bank Śląski Spółka Akcyjna,10000.0,Warszawa,Java,senior,16000.0,26000.0,,
2cab8c3b533c39baf8649da0da3c8dab,ING Bank Śląski Spółka Akcyjna,10000.0,Warszawa,JavaScript,senior,11000.0,22000.0,,
c07b7c9799453b5436438e8bf436f9dd,ING Bank Śląski Spółka Akcyjna,10000.0,Warszawa,Mobile,mid,9600.0,13000.0,,
a6bf647975853b8e3fe4d3685ca1e8ca,Square One Resources,10.0,Warszawa,Python,mid,,,16800.0,21840.0
dc088583c19553fad55328e0f297e83f,Square One Resources,10.0,Warszawa,Python,mid,,,19000.0,25000.0
5dba186c30ce698e00608b1390a78a22,Square One Resources,10.0,Warszawa,Java,senior,,,21840.0,30240.0
65b3f285b1796f3fe02e942e7ffa3329,Square One Resources,10.0,Warszawa,C#,senior,,,16800.0,23520.0
28b01419c62e9d8fddf7349978a79996,7N,1000.0,Warszawa,Python,senior,,,26880.0,33600.0
9b5f0bdeecb89848791cdc4266f47e55,7N,1000.0,Warszawa,C#,mid,,,21840.0,25200.0
9b02197be7e4354381545efab74e9900,ITDS Poland,100.0,Warszawa,Java,senior,,,16800.0,22050.0
56b89f84ec235a362602d3a8a5830b43,ITDS Poland,100.0,Kraków,Python,senior,,,19300.0,26040.0
c55abecbfac6efb233dbca4d06fbcd32,ITDS Poland,100.0,Warszawa,C#,senior,,,16800.0,21840.0
f3ff0ee046ee9a08112951cf9436a1a7,SoftServe Poland,100.0,Wrocław,Java,senior,,,19000.0,27000.0
e02ba69021cbb0201f28da35fa71e538,SoftServe Poland,100.0,Wrocław,PHP,senior,,,16000.0,23000.0
e34adcf6f993921138348faec7ad9cb5,SoftServe Poland,100.0,Wrocław,C/C++,senior,,,20000.0,28000.0
efe2c196725b656a52eea75a86cb9866,SoftServe Poland,100.0,Wrocław,,senior,,,19000.0,26000.0
9cfc6b83c463781367e0d77f208365f5,SoftServe Poland,100.0,Wrocław,Python,senior,16000.0,24000.0,18000.0,26000.0
cda816dee177e59de543fde433576265,Mobica,1000.0,Kraków,C/C++,mid,,,16000.0,24000.0
c3c02d02969de1bdf4052147fa88ee7d,Mobica,1000.0,Kraków,C/C++,senior,13000.0,18000.0,16300.0,22700.0
